USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 159852  9184 ?        Ss   Sep25   0:02 /sbin/init auto noprompt
root          2  0.0  0.0      0     0 ?        S    Sep25   0:00 [kthreadd]
root          3  0.0  0.0      0     0 ?        I<   Sep25   0:00 [rcu_gp]
root          4  0.0  0.0      0     0 ?        I<   Sep25   0:00 [rcu_par_gp]
root          6  0.0  0.0      0     0 ?        I<   Sep25   0:00 [kworker/0:0H]
root          8  0.0  0.0      0     0 ?        I<   Sep25   0:00 [mm_percpu_wq]
root          9  0.0  0.0      0     0 ?        S    Sep25   0:00 [ksoftirqd/0]
root         10  0.0  0.0      0     0 ?        I    Sep25   0:04 [rcu_sched]
root         11  0.0  0.0      0     0 ?        S    Sep25   0:00 [migration/0]
root         12  0.0  0.0      0     0 ?        S    Sep25   0:00 [idle_inject/0]
root         14  0.0  0.0      0     0 ?        S    Sep25   0:00 [cpuhp/0]
root         15  0.0  0.0      0     0 ?        S    Sep25   0:00 [cpuhp/1]
root         16  0.0  0.0      0     0 ?        S    Sep25   0:00 [idle_inject/1]
root         17  0.0  0.0      0     0 ?        S    Sep25   0:00 [migration/1]
root         18  0.0  0.0      0     0 ?        S    Sep25   0:00 [ksoftirqd/1]
root         20  0.0  0.0      0     0 ?        I<   Sep25   0:00 [kworker/1:0H-kb]
root         21  0.0  0.0      0     0 ?        S    Sep25   0:00 [kdevtmpfs]
root         22  0.0  0.0      0     0 ?        I<   Sep25   0:00 [netns]
root         23  0.0  0.0      0     0 ?        S    Sep25   0:00 [rcu_tasks_kthre]
root         24  0.0  0.0      0     0 ?        S    Sep25   0:00 [kauditd]
root         28  0.0  0.0      0     0 ?        S    Sep25   0:00 [khungtaskd]
root         29  0.0  0.0      0     0 ?        S    Sep25   0:00 [oom_reaper]
root         30  0.0  0.0      0     0 ?        I<   Sep25   0:00 [writeback]
root         31  0.0  0.0      0     0 ?        S    Sep25   0:00 [kcompactd0]
root         32  0.0  0.0      0     0 ?        SN   Sep25   0:00 [ksmd]
root         33  0.0  0.0      0     0 ?        SN   Sep25   0:00 [khugepaged]
root         34  0.0  0.0      0     0 ?        I<   Sep25   0:00 [crypto]
root         35  0.0  0.0      0     0 ?        I<   Sep25   0:00 [kintegrityd]
root         36  0.0  0.0      0     0 ?        I<   Sep25   0:00 [kblockd]
root         37  0.0  0.0      0     0 ?        I<   Sep25   0:00 [tpm_dev_wq]
root         38  0.0  0.0      0     0 ?        I<   Sep25   0:00 [ata_sff]
root         39  0.0  0.0      0     0 ?        I<   Sep25   0:00 [md]
root         40  0.0  0.0      0     0 ?        I<   Sep25   0:00 [edac-poller]
root         41  0.0  0.0      0     0 ?        I<   Sep25   0:00 [devfreq_wq]
root         42  0.0  0.0      0     0 ?        S    Sep25   0:00 [watchdogd]
root         46  0.0  0.0      0     0 ?        S    Sep25   0:00 [kswapd0]
root         47  0.0  0.0      0     0 ?        I<   Sep25   0:00 [kworker/u257:0]
root         48  0.0  0.0      0     0 ?        S    Sep25   0:00 [ecryptfs-kthrea]
root        137  0.0  0.0      0     0 ?        I<   Sep25   0:00 [kthrotld]
root        138  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/24-pciehp]
root        139  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/25-pciehp]
root        140  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/26-pciehp]
root        141  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/27-pciehp]
root        142  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/28-pciehp]
root        143  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/29-pciehp]
root        144  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/30-pciehp]
root        145  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/31-pciehp]
root        146  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/32-pciehp]
root        147  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/33-pciehp]
root        148  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/34-pciehp]
root        149  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/35-pciehp]
root        150  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/36-pciehp]
root        151  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/37-pciehp]
root        152  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/38-pciehp]
root        153  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/39-pciehp]
root        154  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/40-pciehp]
root        155  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/41-pciehp]
root        156  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/42-pciehp]
root        157  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/43-pciehp]
root        158  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/44-pciehp]
root        159  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/45-pciehp]
root        160  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/46-pciehp]
root        161  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/47-pciehp]
root        162  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/48-pciehp]
root        163  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/49-pciehp]
root        164  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/50-pciehp]
root        165  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/51-pciehp]
